molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL3618134,2230.0,nM,COc1ccc(-n2ncc3c(=O)n(-c4cc(C)ccn4)c(C)nc32)cc1,5.651695136951839
CHEMBL185601,2263.0,nM,N[C@@H](CC(=O)N1CCSC1)Cc1ccccc1C(F)(F)F,5.645315446045272
CHEMBL3580787,2290.0,nM,N[C@@H](CC(=O)N1CCNc2cc(C(F)(F)F)ccc2C1)[C@H]1CCc2cc(F)c(F)cc21,5.6401645176601125
CHEMBL396136,2300.0,nM,CCCC[C@H]1CN(c2cc(OC)c(OC)c(OC)c2)CC[C@H]1N,5.638272163982407
CHEMBL430281,2300.0,nM,Cl.NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1,5.638272163982407
CHEMBL553407,2300.0,nM,CCOC(=O)Nc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,5.638272163982407
CHEMBL305170,2300.0,nM,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,5.638272163982407
CHEMBL216234,2300.0,nM,C[C@H]1C(=O)NCCCN1C(=O)C[C@@H](N)Cc1cc(F)c(F)cc1F,5.638272163982407
CHEMBL235201,2300.0,nM,COc1ccc(-c2cc(N3C[C@H](c4ccccc4)[C@@H](N)C3)ncn2)cc1,5.638272163982407
CHEMBL1276590,2300.0,nM,N[C@@H](CC(=O)N1CCN2C(=O)OCC2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,5.638272163982407
CHEMBL206496,2300.0,nM,NCc1ccccc1-c1ccccc1Cl,5.638272163982407
CHEMBL3343902,2390.0,nM,COCc1ccc(-c2ccc(-c3cccs3)s2)s1,5.621602099051863
CHEMBL1683097,2400.0,nM,CS(=O)(=O)N(CCCC(F)(F)F)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,5.619788758288394
CHEMBL1812735,2400.0,nM,CCCCn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,5.619788758288394
CHEMBL1812734,2400.0,nM,CCCn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,5.619788758288394
CHEMBL544950,2400.0,nM,CCOC(=O)c1cnc(CN)c2c(OC)ccc(OC)c12.Cl,5.619788758288394
