molecule_chembl_id,IC50,units,smiles,pIC50,ROMol,molecular_weight,n_hba,n_hbd,logp,n_rotatable,n_aromatic_rings
CHEMBL402163,0.21,nM,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1.O=C(O)C(F)(F)F,9.67778070526608,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855930>,567.121782492,7,2,5.435400000000005,7,2
CHEMBL4461587,0.22,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(Br)cc1C(=O)O)c(=O)n2C,9.657577319177792,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855b60>,528.11206538,9,2,1.3565,5,3
CHEMBL3805629,0.23,nM,Cc1nc2ncc3c(n2n1)CN([C@H]1CC[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,9.638272163982409,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8559a0>,402.177979332,6,1,2.8292200000000003,2,3
CHEMBL3806041,0.24,nM,N[C@H]1C[C@@H](N2Cc3cnc4nnc(C5CC5)n4c3C2)CC[C@@H]1c1cc(F)c(F)cc1F,9.619788758288394,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855e70>,428.193629396,6,1,3.398200000000001,3,3
CHEMBL195420,0.25,nM,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)nc1,9.602059991327964,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f854eb0>,310.154209196,6,2,0.6102599999999991,3,1
CHEMBL195420,0.25,nM,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)nc1,9.602059991327964,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8554d0>,310.154209196,6,2,0.6102599999999991,3,1
CHEMBL5219939,0.26,nM,CC(C)(C)OC(=O)NCC(=O)N1CCC[C@H]1C(=O)O/C=C/c1ccccc1,9.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855310>,374.18417193199997,5,1,2.7162000000000006,5,1
CHEMBL63860,0.26,nM,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,9.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855770>,186.11757273999999,4,3,-1.663399999999999,2,0
CHEMBL2147703,0.26,nM,O=C([C@@H]1C[C@H](N2CCN(c3nccn3-c3ccccc3)CC2)CN1)N1CCSC1,9.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855c40>,412.2045305160001,7,1,1.2576999999999996,4,2
CHEMBL5220750,0.27,nM,NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)O/C=C/c1ccccc1,9.568636235841012,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f855a10>,345.205241724,5,2,1.6478000000000013,8,1
